iter	Passed	Remaining
0	168	168003
1	172	86019
2	173	57824
3	176	43904
4	178	35457
5	179	29777
6	184	26115
7	185	23062
8	187	20653
9	189	18723
10	197	17767
11	199	16391
12	201	15276
13	202	14274
14	204	13419
15	208	12844
16	210	12176
17	211	11564
18	213	11020
19	215	10535
20	216	10101
21	218	9696
22	222	9459
23	224	9127
24	226	8817
25	227	8522
26	229	8254
27	230	8002
28	231	7765
29	233	7550
30	240	7526
31	242	7325
32	243	7135
33	245	6970
34	246	6807
35	249	6671
36	257	6702
37	259	6557
38	260	6417
39	261	6285
40	264	6191
41	270	6179
42	275	6122
43	276	6008
44	278	5901
45	279	5800
46	286	5815
47	289	5732
48	290	5637
49	292	5556
50	294	5480
51	301	5498
52	303	5414
53	304	5334
54	305	5255
55	307	5179
56	308	5105
57	310	5036
58	316	5049
59	318	4992
60	320	4928
61	322	4882
62	324	4824
63	325	4763
64	331	4761
65	332	4703
66	333	4648
67	335	4593
68	336	4541
69	338	4492
70	339	4446
71	344	4441
72	346	4399
73	347	4351
74	349	4304
75	350	4261
76	352	4221
77	353	4180
78	355	4142
79	356	4103
80	358	4070
81	360	4038
82	361	3994
83	363	3959
84	365	3932
85	373	3967
86	376	3950
87	377	3915
88	379	3887
89	384	3889
90	387	3866
91	388	3835
92	390	3805
93	392	3779
94	393	3750
95	395	3722
96	396	3691
97	402	3701
98	404	3682
99	405	3652
100	407	3623
101	408	3597
102	410	3571
103	411	3547
104	418	3570
105	420	3547
106	423	3533
107	424	3509
108	426	3485
109	434	3511
110	435	3489
111	437	3465
112	438	3445
113	440	3423
114	441	3401
115	446	3405
116	448	3384
117	450	3364
118	451	3342
119	453	3323
120	454	3301
121	455	3281
122	457	3260
123	458	3239
124	464	3249
125	467	3240
126	468	3221
127	470	3202
128	471	3183
129	472	3163
130	474	3144
131	484	3183
132	485	3166
133	487	3149
134	489	3138
135	497	3161
136	498	3142
137	500	3123
138	501	3105
139	502	3086
140	503	3067
141	504	3046
142	505	3027
143	508	3021
144	509	3003
145	510	2986
146	511	2968
147	512	2951
148	513	2934
149	514	2917
150	516	2901
151	517	2885
152	518	2872
153	520	2857
154	523	2856
155	525	2841
156	526	2826
157	527	2810
158	528	2795
159	529	2781
160	530	2764
161	531	2749
162	532	2735
163	533	2720
164	535	2707
165	538	2706
166	539	2692
167	541	2679
168	542	2666
169	543	2653
170	544	2640
171	545	2627
172	547	2615
173	548	2602
174	549	2589
175	550	2576
176	553	2572
177	554	2560
178	555	2548
179	556	2536
180	557	2524
181	559	2513
182	560	2501
183	561	2489
184	562	2478
185	564	2468
186	565	2458
187	568	2454
188	570	2447
189	571	2438
190	573	2428
191	575	2423
192	577	2415
193	596	2478
194	604	2493
195	606	2488
196	610	2488
197	614	2489
198	617	2486
199	620	2480
200	623	2479
201	635	2511
202	638	2505
203	646	2522
204	649	2516
205	652	2513
206	654	2505
207	658	2506
208	662	2505
209	664	2498
210	666	2493
211	673	2501
212	676	2499
213	678	2492
214	680	2484
215	682	2475
216	684	2469
217	687	2465
218	689	2458
219	691	2450
220	692	2441
221	694	2433
222	697	2429
223	700	2426
224	704	2426
225	706	2418
226	707	2410
227	710	2405
228	712	2398
229	714	2392
230	716	2385
231	718	2378
232	719	2370
233	722	2363
234	723	2355
235	725	2347
236	726	2338
237	727	2329
238	731	2329
239	732	2320
240	734	2312
241	735	2304
242	737	2297
243	738	2288
244	739	2280
245	741	2272
246	742	2264
247	755	2289
248	756	2281
249	758	2274
250	763	2278
251	765	2271
252	766	2262
253	768	2258
254	770	2251
255	771	2243
256	773	2235
257	774	2228
258	779	2231
259	781	2224
260	783	2218
261	786	2215
262	788	2209
263	791	2206
264	798	2215
265	801	2210
266	803	2206
267	806	2202
268	812	2209
269	815	2203
270	817	2197
271	821	2199
272	829	2209
273	831	2203
274	833	2197
275	834	2190
276	836	2182
277	838	2177
278	844	2181
279	847	2179
280	851	2178
281	852	2170
282	854	2163
283	865	2181
284	877	2200
285	903	2255
286	909	2259
287	911	2253
288	913	2246
289	915	2241
290	917	2234
291	918	2226
292	922	2225
293	923	2218
294	925	2210
295	926	2203
296	927	2196
297	929	2189
298	930	2181
299	931	2174
300	933	2168
301	935	2161
302	938	2157
303	939	2150
304	940	2143
305	941	2135
306	942	2128
307	943	2120
308	945	2113
309	946	2106
310	947	2099
311	948	2092
312	949	2084
313	952	2080
314	954	2074
315	955	2068
316	957	2061
317	959	2057
318	961	2053
319	963	2046
320	965	2042
321	967	2036
322	968	2030
323	970	2023
324	971	2017
325	972	2010
326	973	2004
327	975	1997
328	976	1991
329	977	1984
330	980	1981
331	982	1976
332	983	1969
333	984	1963
334	986	1957
335	987	1951
336	989	1945
337	990	1939
338	991	1933
339	992	1927
340	995	1924
341	997	1918
342	998	1912
343	999	1905
344	1000	1900
345	1002	1893
346	1003	1887
347	1004	1881
348	1005	1875
349	1006	1869
350	1007	1863
351	1010	1860
352	1012	1854
353	1013	1849
354	1014	1843
355	1015	1837
356	1016	1831
357	1018	1825
358	1019	1820
359	1020	1814
360	1021	1808
361	1024	1806
362	1026	1801
363	1028	1796
364	1029	1790
365	1030	1785
366	1032	1780
367	1033	1775
368	1035	1770
369	1036	1764
370	1037	1759
371	1041	1757
372	1042	1752
373	1043	1747
374	1045	1741
375	1047	1738
376	1049	1734
377	1051	1729
378	1052	1724
379	1053	1718
380	1056	1716
381	1057	1711
382	1059	1706
383	1060	1700
384	1061	1695
385	1062	1690
386	1064	1685
387	1065	1680
388	1066	1675
389	1068	1670
390	1070	1667
391	1072	1662
392	1073	1657
393	1074	1652
394	1075	1647
395	1076	1642
396	1077	1636
397	1078	1631
398	1079	1626
399	1081	1621
400	1082	1616
401	1083	1611
402	1086	1609
403	1087	1604
404	1097	1612
405	1107	1620
406	1109	1615
407	1110	1610
408	1111	1606
409	1112	1601
410	1115	1599
411	1117	1594
412	1118	1589
413	1119	1585
414	1121	1580
415	1122	1575
416	1123	1571
417	1125	1566
418	1126	1561
419	1127	1557
420	1130	1555
421	1132	1550
422	1133	1546
423	1134	1541
424	1136	1537
425	1137	1532
426	1138	1528
427	1139	1523
428	1141	1518
429	1142	1514
430	1144	1511
431	1146	1507
432	1147	1502
433	1148	1497
434	1149	1493
435	1150	1488
436	1152	1484
437	1153	1480
438	1154	1475
439	1155	1471
440	1156	1466
441	1157	1461
442	1160	1459
443	1162	1455
444	1163	1451
445	1164	1446
446	1165	1442
447	1166	1437
448	1168	1433
449	1169	1429
450	1170	1424
451	1171	1420
452	1172	1416
453	1175	1413
454	1176	1409
455	1178	1405
456	1179	1401
457	1180	1397
458	1181	1392
459	1182	1388
460	1183	1384
461	1184	1379
462	1185	1375
463	1187	1371
464	1188	1366
465	1191	1364
466	1192	1360
467	1193	1356
468	1194	1352
469	1195	1348
470	1196	1343
471	1197	1339
472	1198	1335
473	1200	1331
474	1201	1327
475	1202	1323
476	1203	1319
477	1206	1317
478	1207	1313
479	1209	1309
480	1210	1306
481	1211	1302
482	1213	1298
483	1214	1294
484	1215	1291
485	1217	1287
486	1218	1283
487	1221	1281
488	1222	1277
489	1224	1274
490	1226	1270
491	1227	1267
492	1228	1263
493	1229	1259
494	1231	1256
495	1232	1252
496	1235	1250
497	1237	1247
498	1238	1243
499	1239	1239
500	1241	1236
501	1243	1233
502	1244	1229
503	1245	1226
504	1247	1222
505	1250	1220
506	1251	1217
507	1253	1213
508	1254	1210
509	1256	1207
510	1257	1203
511	1259	1200
512	1260	1196
513	1261	1193
514	1263	1189
515	1266	1187
516	1267	1184
517	1268	1180
518	1269	1177
519	1271	1173
520	1272	1169
521	1273	1166
522	1274	1162
523	1275	1158
524	1276	1155
525	1278	1151
526	1281	1149
527	1282	1146
528	1283	1142
529	1284	1139
530	1285	1135
531	1286	1132
532	1287	1128
533	1289	1124
534	1290	1121
535	1291	1117
536	1292	1114
537	1293	1110
538	1296	1108
539	1297	1105
540	1298	1101
541	1299	1098
542	1300	1094
543	1302	1091
544	1303	1087
545	1304	1084
546	1305	1081
547	1307	1078
548	1308	1074
549	1311	1072
550	1312	1069
551	1313	1066
552	1324	1070
553	1338	1077
554	1339	1074
555	1341	1071
556	1344	1069
557	1346	1066
558	1347	1063
559	1349	1059
560	1350	1056
561	1351	1053
562	1353	1050
563	1354	1047
564	1355	1043
565	1359	1042
566	1360	1038
567	1361	1035
568	1363	1032
569	1364	1029
570	1366	1026
571	1367	1023
572	1368	1019
573	1369	1016
574	1370	1013
575	1372	1010
576	1373	1007
577	1374	1003
578	1376	1000
579	1377	997
580	1378	993
581	1379	990
582	1380	987
583	1382	984
584	1383	981
585	1384	977
586	1385	974
587	1387	972
588	1389	969
589	1390	966
590	1391	962
591	1392	959
592	1393	956
593	1395	953
594	1396	950
595	1398	947
596	1399	944
597	1400	941
598	1403	939
599	1404	936
600	1406	933
601	1407	930
602	1409	927
603	1410	924
604	1411	921
605	1413	918
606	1414	915
607	1417	913
608	1418	910
609	1420	907
610	1421	904
611	1422	901
612	1424	899
613	1425	896
614	1426	892
615	1427	889
616	1428	886
617	1429	883
618	1429	880
619	1432	877
620	1433	874
621	1434	871
622	1435	868
623	1436	865
624	1437	862
625	1438	859
626	1439	856
627	1440	853
628	1440	849
629	1441	846
630	1442	843
631	1443	840
632	1444	837
633	1447	835
634	1448	832
635	1449	829
636	1450	826
637	1451	823
638	1452	820
639	1453	817
640	1453	814
641	1454	811
642	1455	808
643	1456	805
644	1457	802
645	1458	799
646	1459	796
647	1460	793
648	1462	791
649	1463	788
650	1464	785
651	1465	782
652	1466	779
653	1467	776
654	1468	773
655	1469	770
656	1470	767
657	1471	764
658	1472	761
659	1472	758
660	1473	755
661	1474	752
662	1475	749
663	1477	747
664	1479	745
665	1479	742
666	1480	739
667	1481	736
668	1482	733
669	1483	730
670	1484	727
671	1485	724
672	1486	722
673	1487	719
674	1488	716
675	1488	713
676	1489	710
677	1492	708
678	1493	706
679	1494	703
680	1495	700
681	1496	697
682	1497	694
683	1498	692
684	1498	689
685	1499	686
686	1500	683
687	1501	680
688	1502	678
689	1503	675
690	1504	672
691	1505	669
692	1507	668
693	1509	665
694	1509	662
695	1510	659
696	1511	657
697	1512	654
698	1513	651
699	1514	649
700	1515	646
701	1516	643
702	1517	641
703	1518	638
704	1519	635
705	1521	633
706	1523	631
707	1524	628
708	1526	626
709	1527	623
710	1528	621
711	1529	618
712	1530	615
713	1531	613
714	1532	610
715	1532	608
716	1533	605
717	1534	602
718	1535	600
719	1538	598
720	1539	595
721	1540	593
722	1541	590
723	1541	587
724	1542	585
725	1543	582
726	1544	580
727	1545	577
728	1546	574
729	1547	572
730	1548	569
731	1549	567
732	1563	569
733	1576	571
734	1577	568
735	1578	566
736	1579	563
737	1581	561
738	1582	558
739	1583	556
740	1585	554
741	1586	551
742	1587	549
743	1588	546
744	1590	544
745	1591	541
746	1592	539
747	1593	536
748	1594	534
749	1595	531
750	1596	529
751	1599	527
752	1600	525
753	1601	522
754	1602	520
755	1603	517
756	1604	515
757	1605	512
758	1606	510
759	1607	507
760	1608	505
761	1609	502
762	1610	500
763	1611	497
764	1612	495
765	1614	493
766	1615	490
767	1616	488
768	1617	485
769	1618	483
770	1619	481
771	1620	478
772	1621	476
773	1622	473
774	1623	471
775	1624	468
776	1625	466
777	1626	464
778	1627	461
779	1629	459
780	1630	457
781	1631	454
782	1632	452
783	1633	450
784	1634	447
785	1635	445
786	1636	442
787	1637	440
788	1638	438
789	1639	435
790	1639	433
791	1640	430
792	1641	428
793	1644	426
794	1645	424
795	1646	421
796	1647	419
797	1648	417
798	1649	414
799	1649	412
800	1651	410
801	1651	407
802	1652	405
803	1653	403
804	1654	400
805	1655	398
806	1656	396
807	1657	393
808	1659	391
809	1660	389
810	1661	387
811	1662	384
812	1663	382
813	1664	380
814	1665	378
815	1666	375
816	1667	373
817	1668	371
818	1669	368
819	1670	366
820	1671	364
821	1672	362
822	1674	360
823	1675	357
824	1676	355
825	1677	353
